experiment,head,wer,is_best_head,expected_reported_wer,absolute_difference
baseline_e25,ensemble_last,32.94200516553181,False,31.7445,1.1975051655318119
baseline_e25,fuse,31.74454097205917,True,31.7445,4.097205917119595e-05
baseline_e25,body,34.53862409016201,False,31.7445,2.7941240901620112
baseline_e25,left,46.748062925569386,False,31.7445,15.003562925569387
baseline_e25,right,35.289974172340926,False,31.7445,3.5454741723409278
temporal_v3_seed0,ensemble_last,31.979337872740082,False,31.0167,0.962637872740082
temporal_v3_seed0,fuse,31.016670579948347,True,31.0167,2.942005165351702e-05
temporal_v3_seed0,body,34.0455505987321,False,31.0167,3.028850598732099
temporal_v3_seed0,left,45.48015966189246,False,31.0167,14.463459661892458
temporal_v3_seed0,right,34.74994130077483,False,31.0167,3.7332413007748286
